"fecha_hecho","cod_depto","departamento","cod_muni","municipio","cantidad","unidad"
"2026-02-10T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.00050","KILOGRAMO"
"2026-02-10T00:00:00.000","52","NARIÑO","52254","EL PEÑOL","0.005","KILOGRAMO"
"2026-02-08T00:00:00.000","52","NARIÑO","52215","CORDOBA","0.001","KILOGRAMO"
"2026-02-08T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.012","KILOGRAMO"
"2026-02-07T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.029","KILOGRAMO"
"2026-02-07T00:00:00.000","52","NARIÑO","52835","SAN ANDRES DE TUMACO","0.006","KILOGRAMO"
"2026-02-06T00:00:00.000","05","ANTIOQUIA","05001","MEDELLIN","0.056","KILOGRAMO"
"2026-02-06T00:00:00.000","52","NARIÑO","52001","PASTO","0.002","KILOGRAMO"
"2026-02-06T00:00:00.000","52","NARIÑO","52693","SAN PABLO","26","KILOGRAMO"
"2026-02-06T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.005","KILOGRAMO"
"2026-02-06T00:00:00.000","52","NARIÑO","52356","IPIALES","0.008","KILOGRAMO"
"2026-02-05T00:00:00.000","52","NARIÑO","52210","CONTADERO","0.001","KILOGRAMO"
"2026-02-05T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.01","KILOGRAMO"
"2026-02-05T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.00552","KILOGRAMO"
"2026-02-04T00:00:00.000","52","NARIÑO","52838","TUQUERRES","0.08","KILOGRAMO"
"2026-02-04T00:00:00.000","11","BOGOTA D.C.","11001","BOGOTA D.C.","0.008","KILOGRAMO"
"2026-02-04T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.008","KILOGRAMO"
"2026-02-04T00:00:00.000","52","NARIÑO","52435","MALLAMA","0.021","KILOGRAMO"
"2026-02-03T00:00:00.000","52","NARIÑO","52256","EL ROSARIO","0.003","KILOGRAMO"
"2026-02-03T00:00:00.000","54","NORTE DE SANTANDER","54001","CUCUTA","0.001","KILOGRAMO"
"2026-02-03T00:00:00.000","52","NARIÑO","52317","GUACHUCAL","0.006","KILOGRAMO"
"2026-02-03T00:00:00.000","52","NARIÑO","52233","CUMBITARA","0.001","KILOGRAMO"
